web_scraper_order,web_scraper_start_url,titre,prix,kilometrage,boite_vitesses,region
"1787170499-1","https://www.gaaraas.com/fr/users/dakar-auto?page=13","2008 Dacia Logan","CFA 2 600 000","137 000 km","Manuelle","Dakar"
"1787170499-2","https://www.gaaraas.com/fr/users/dakar-auto?page=13","2007 Peugeot 307","CFA 2 100 000","175 598 km","Manuelle","Dakar"
"1787170499-3","https://www.gaaraas.com/fr/users/dakar-auto?page=13","2006 Toyota RAV4","CFA 3 500 000","140 000 km","Manuelle","Dakar"
"1787170499-4","https://www.gaaraas.com/fr/users/dakar-auto?page=13","2007 Fiat Stilo","CFA 2 700 000","160 000 km","Manuelle","Dakar"
"1787170499-5","https://www.gaaraas.com/fr/users/dakar-auto?page=13","2007 Audi S3","CFA 2 000 000","120 000 km","Manuelle","Dakar"
"1787170502-6","https://www.gaaraas.com/fr/users/dakar-auto?page=12","2000 Peugeot 205","CFA 1 400 000","160 000 km","Manuelle","Dakar"
"1787170502-7","https://www.gaaraas.com/fr/users/dakar-auto?page=12","2005 Peugeot 307","CFA 2 100 000","160 000 km","Manuelle","Dakar"
"1787170502-8","https://www.gaaraas.com/fr/users/dakar-auto?page=12","2013 Jeep Wrangler","CFA 20 000 000","100 000 km","Automatique","Dakar"
"1787170502-9","https://www.gaaraas.com/fr/users/dakar-auto?page=12","2004 Peugeot 406","CFA 2 700 000","120 000 km","Manuelle","Dakar"
"1787170502-10","https://www.gaaraas.com/fr/users/dakar-auto?page=12","1989 Renault 19","CFA 1 500 000","140 000 km","Manuelle","Dakar"
"1787170502-11","https://www.gaaraas.com/fr/users/dakar-auto?page=12","2010 Toyota RAV4","CFA 9 600 000","180 000 km","Automatique","Dakar"
"1787170502-12","https://www.gaaraas.com/fr/users/dakar-auto?page=12","2008 Peugeot 308","CFA 2 700 000","160 000 km","Manuelle","Dakar"
"1787170502-13","https://www.gaaraas.com/fr/users/dakar-auto?page=12","2005 Peugeot 405","CFA 1 900 000","120 000 km","Manuelle","Dakar"
"1787170502-14","https://www.gaaraas.com/fr/users/dakar-auto?page=12","2010 Peugeot 308","CFA 2 900 000","120 000 km","Manuelle","Dakar"
"1787170502-15","https://www.gaaraas.com/fr/users/dakar-auto?page=12","2006 Nissan 200SX","CFA 1 600 000","180 000 km","Manuelle","Dakar"
"1787170502-16","https://www.gaaraas.com/fr/users/dakar-auto?page=12","2011 Mitsubishi L200","CFA 6 000 000","120 000 km","Manuelle","Dakar"
"1787170502-17","https://www.gaaraas.com/fr/users/dakar-auto?page=12","2006 Citroen Berlingo","CFA 2 400 000","180 000 km","Manuelle","Dakar"
"1787170502-18","https://www.gaaraas.com/fr/users/dakar-auto?page=12","2004 Peugeot 305","CFA 1 600 000","128 000 km","Manuelle","Dakar"
"1787170502-19","https://www.gaaraas.com/fr/users/dakar-auto?page=12","2007 Renault Megane","CFA 2 700 000","180 000 km","Manuelle","Dakar"
"1787170502-20","https://www.gaaraas.com/fr/users/dakar-auto?page=12","2012 Ford Focus ST","CFA 3 300 000","140 000 km","Automatique","Dakar"
